X,Y
0,149.5
0.012469538,149.6626809
0.012469538,149.8603715
0.049850758,149.8852969
0.037292923,149.9288687
0.031584829,149.9633076
0.043381574,150.0007908
0.051372914,150.048168
0.060886424,150.1042977
0.012469538,150.1347409
0.012469538,150.7755705
0.012469538,151.4080281
0.048328601,151.4321924
0.055178306,151.4839459
0.081055054,151.5520625
0.050992369,151.6180863
0.090949084,151.689057
0.117206353,151.7931347
0.021310254,151.862393
0.096276645,151.9211865
0.095515566,152.0170826
0.057461553,152.0935711
0.082577211,152.1635905
0.012469538,152.2048791
0.012469538,152.4997977
0.012469538,152.7794947
0.15830468,152.858647
0.15107443,153.0133366
0.046045354,153.1118965
0.072683156,153.1712607
0.064311282,153.2397579
0.030443206,153.2871352
0.028159971,153.3164368
0.056319929,153.3586767
0.060125346,153.4168994
0.074585858,153.484255
0.057461553,153.5502787
0.102365296,153.6301921
0.205491657,153.7841206
0.012469538,153.8868664
0.012469538,154.099398
0.012469538,154.3046994
0.043762107,154.3265805
0.052134005,154.3745285
0.084860433,154.4430258
0.083718834,154.5273154
0.012469538,154.5691748
0.012469538,154.6681152
0.012469538,154.7944546
0.191031133,154.8899701
0.012469538,154.9854857
0.012469538,155.1207677
0.012469538,155.2746962
0.052514525,155.3009534
0.053275616,155.3538485
0.055178318,155.4080755
0.081055042,155.4761922
0.067355608,155.5503975
0.054797773,155.6114742
,
,
,
0.084860446,157.3747068
0.064691828,157.4494829
0.04490373,157.5042807
0.062028035,157.5577466
0.116064729,157.6467929
0.068497219,157.7390739
0.078771807,157.8127084
0.083338289,157.8937635
0.105029063,157.9879472
,
,
,
0.153357665,158.7518814
0.012469538,158.8285603
0.012469538,158.9937147
0.012469538,159.1817015
0.103126374,159.2332647
0.012469538,159.2848279
0.012469538,159.4052688
0.012469538,159.609048
0.100082048,159.659089
0.070780466,159.7445203
0.093612864,159.826717
0.107312311,159.9271796
0.07458587,160.0181286
0.156021445,160.1334323
0.140799829,160.2818429
0.114923118,160.4097044
