OBJECTID,SHAPE_Length,MapUnit,xmid,ystart,yend
1955,1.455989314,2,64.0107422,17.0742798,15.6561279
1977,0.889117592,2,65.7687378,0.9584961,0.069519
1953,2.090716311,2,66.3025513,12.2192993,10.1713257
1954,2.933171523,2,66.6064148,10.1079102,7.2316895
1952,1.856352154,2,67.2272339,13.7139282,11.8579102
1976,1.012338824,2,67.5178528,0.8643188,-0.1370239
1975,0.742092172,2,68.814331,0.65271,-0.0892944
1974,0.770095611,2,69.9120178,0.6409302,-0.1210938
1968,1.057258448,2,70.0069275,15.0957031,14.0394897
1969,1.990780776,2,70.4756164,6.022522,4.0380859
1973,0.754335913,2,71.9440613,0.513916,-0.2321777
51,11.82372825,2,74.1099243,18.1096802,6.3026733
1970,1.372623928,2,74.4206238,5.0858765,3.7207031
1972,0.76350581,2,75.3572388,0.3869019,-0.3751221
1971,0.746893063,2,76.9049072,0.4187012,-0.3275146
1958,2.02498242,2,77.5717163,13.7694702,11.753479
1960,1.460978433,2,83.0803223,10.4359131,8.9752808
1959,4.224237545,2,83.6757202,14.6109009,10.3881226
1965,4.067775687,2,84.866333,20.6911011,16.6270752
1966,2.469199282,2,86.0887451,21.7546997,19.2941284
1967,1.943922551,2,86.7458496,21.675293,19.7316895
1961,15.92870046,2,86.850708,21.0244751,5.1334839
1962,3.08554222,2,89.2017212,21.0634766,18.0083008
1963,0.968573835,2,89.4701538,15.8809204,14.9124756
1964,3.592815529,2,91.1766357,17.8018799,14.2141113
1983,4.320912714,2,93.1570129,10.1348877,5.8168945
1982,3.873935172,2,93.6332092,13.9924927,10.1190796
1987,1.206359863,2,95.3160095,16.1514893,14.9451294
1984,3.694499312,2,97.8266296,13.670105,9.9760742
1985,2.741636195,2,98.7314453,16.4959106,13.7545166
1867,2.811713974,2,99.1462402,10.7965088,13.6077271
1874,1.885933537,2,99.1541443,5.6887207,7.5540771
1986,5.158916403,2,102.5787353,19.8187256,14.6751099
