bed_center_elev,bed_thickness
144.5,0
145.1011388,0.043415998
145.1493621,0.053030614
145.2268048,0.101854834
145.3481143,0.140763983
145.4928593,0.148726083
145.6575847,0.180724725
145.790011,0.084127887
145.8653505,0.066551167
145.9892138,0.181175416
146.1708399,0.182076779
146.2997359,0.075715101
146.3641838,0.053180839
146.4729492,0.164349838
146.6021456,0.094042959
146.7100095,0.121684977
146.8106625,0.079621033
146.8770635,0.053180844
146.9320471,0.056786326
146.9872092,0.053538
147.0506807,0.073404969
147.1173537,0.059941121
147.1786469,0.062645229
147.2554887,0.09103839
147.3721411,0.142266267
147.5218436,0.15713887
147.6173138,0.033801382
147.6342144,0.004922683
147.7583031,0.004922683
147.8823917,0.004922683
147.928662,0.092540679
147.99311,0.036355266
148.0639427,0.105310085
148.1533286,0.073461669
148.216124,0.052129246
148.279896,0.07541464
148.483155,0.331103328
148.6921226,0.086831996
148.7743727,0.077668067
148.8476841,0.068954819
148.9124325,0.060542033
148.9697446,0.054082212
149.0290848,0.0645982
149.0884251,0.054082212
149.1447607,0.058589061
149.2021479,0.056185409
149.2302406,0.004922683
149.4374056,0.004922683
149.64427,0.004922683
149.7318532,0.175166277
149.8194363,0.004922683
149.9437503,0.004922683
150.030662,0.004922683
150.0491378,0.036951555
150.0783549,0.021482658
150.1068232,0.035453893
150.1406245,0.032148872
150.1696937,0.025989508
150.1991385,0.03290001
150.2363215,0.04146601
150.272827,0.031544977
150.2991906,0.021182202
150.3306634,0.041763488
150.3653662,0.027642018
150.3981165,0.037858609
150.4407062,0.047320877
150.5052288,0.08172423
150.5623156,0.032449328
150.5965676,0.03605481
150.6405846,0.051979015
150.682348,0.031547955
150.7114172,0.026590425
150.7399606,0.030496357
150.774438,0.038458462
150.8059051,0.02447561
150.831519,0.026752263
150.8608193,0.031848416
150.9090426,0.064598195
150.9413417,0.004922683
150.9854338,0.004922683
151.0358354,0.004922683
151.0948751,0.118079495
151.1539149,0.004922683
151.204016,0.004922683
151.2608775,0.004922683
151.3292314,0.136707815
151.3975853,0.004922683
151.4611319,0.004922683
151.5251292,0.004922683
151.5586301,0.067001853
151.6206527,0.057043309
151.6634929,0.028637045
151.6893851,0.023147446
151.726404,0.050890315
151.7613009,0.018903414
151.782846,0.024186767
151.8084599,0.027041106
151.8312946,0.018628319
151.8511999,0.021182197
151.8724572,0.021332433
151.8931887,0.020130599
151.9243611,0.042214169
152.0041323,0.117328358
152.0809742,0.036355266
152.1149258,0.031547955
152.1518819,0.0423644
152.1872607,0.028393165
152.2270712,0.051227873
152.2776231,0.049875819
152.3384656,0.071809158
152.3856373,0.022534257
152.4095236,0.025238365
152.4398697,0.035453893
152.474272,0.033350701
152.5079232,0.033951608
152.5350394,0.020280829
152.5542686,0.018177633
152.5751504,0.023585855
152.5951307,0.016374892
152.6123319,0.018027402
152.6305095,0.018327863
152.6827139,0.086080854
152.737397,0.023285399
152.7657902,0.033500927
152.8236281,0.082174916
152.8848461,0.040261203
152.9184973,0.027041106
152.9416325,0.019229231
152.9622889,0.02208357
152.9805416,0.014421921
153.0010478,0.026590425
153.0339478,0.039209605
153.0774389,0.047772622
153.1213056,0.039960742
153.1720828,0.061593631
153.2240618,0.0423644
153.2912139,0.091939762
153.3775952,0.080822862
153.4645023,0.092991361
153.5318797,0.041763488
153.5714649,0.037406864
153.6039893,0.027642018
153.6311056,0.02659042
153.6620526,0.035303667
153.7021636,0.044918283
153.734688,0.020130604
153.7536168,0.017726946
153.7720949,0.019229231
153.8092764,0.05513381
153.8538191,0.033951613
153.8845408,0.027491792
153.9133096,0.030045671
153.9389235,0.021182202
153.9604062,0.021783109
153.9801612,0.017726951
153.9983388,0.018628314
154.0165164,0.017726951
154.0364217,0.02208357
154.0591062,0.023285394
154.0893772,0.037256638
154.1338448,0.051678554
154.1772608,0.035153442
154.2115129,0.033350696
154.2468917,0.037406864
154.3034526,0.075715096
154.3600887,0.037557094
154.3914113,0.025088135
154.4182271,0.028543391
154.4450429,0.02508814
154.4718586,0.028543391
154.502355,0.032449328
154.5429918,0.048824215
154.592492,0.050176279
154.6308754,0.02659042
154.6597192,0.031097274
154.6890137,0.027491787
154.7384389,0.071358477
154.8080697,0.067903221
154.8602741,0.036505496
154.895728,0.034402294
154.9254732,0.02508814
154.9589741,0.041913713
154.9897709,0.019679918
155.0092255,0.019229231
155.0308584,0.024036536
155.0603783,0.035003211
155.1103292,0.064898656
155.1772559,0.068954819
155.2255544,0.027642018
155.2482388,0.017726951
155.2659658,0.017726946
155.2789605,0.008262561
155.2922558,0.018327858
155.3208743,0.038909149
155.3690976,0.057537463
155.4385031,0.081273548
155.4870268,0.01577398
155.5054298,0.021031972
155.5444892,0.057086777
155.5809947,0.015924211
155.5984963,0.019079001
155.6156223,0.015173068
155.6417621,0.037106403
155.6691787,0.017726951
155.6858541,0.01562375
155.7273922,0.067452535
155.794319,0.066400941
155.8482509,0.041463027
155.8770948,0.016224667
155.8962489,0.02208357
155.9265199,0.038458462
155.9561149,0.020731516
155.976546,0.020130599
155.9979535,0.022684482
156.0178588,0.017126034
156.0537634,0.054683129
156.109423,0.056636095
156.1630545,0.050626956
156.2066207,0.036505496
156.2578486,0.065950255
156.3299582,0.078268979
156.3690927,0.004922683
156.4537464,0.004922683
156.5388508,0.004922683
156.5592818,0.040862115
156.6371001,0.114774475
156.7156695,0.0423644
156.7680992,0.062495004
156.8369789,0.075264409
156.8953427,0.041463032
156.9399605,0.047772622
157.002155,0.076616469
157.0631478,0.045368964
157.106038,0.040411433
157.1569654,0.0614434
157.2273474,0.079320577
157.2903631,0.046710912
157.3371592,0.046881365
157.3854627,0.049725588
157.4376671,0.054683124
157.4848388,0.039660291
157.5423763,0.07541464
157.5953318,0.030496362
157.6346916,0.048223303
157.6911023,0.0645982
157.742856,0.038909144
157.7864222,0.048223308
157.8353216,0.049575363
157.9364253,0.15263202
158.0427869,0.060091346
158.0937144,0.041763488
158.1326235,0.03605481
158.1715327,0.041763488
158.2104418,0.036054805
158.2498016,0.042664861
158.2977245,0.053180839
158.3474501,0.046270337
158.3991286,0.057086781
